code,name,update_date,nav,nav_acc,dividend_ratio,volatility_20,momentum_20,drawdown,sharpe_20,mean_reversion
519051,海富通一年定开债A,2025-11-21,1.1925,2.2755,0.9081761006289311,0.001146790252461351,0.005650193961882266,-0.001973684210526196,0.24623415522039863,-0.0009132114042510707
005008,东方红汇阳债券Z,2025-11-21,1.1488,1.4538,0.26549442896935926,0.0012907508444572897,-0.003815469996531373,-0.006084637998222403,-0.14745560096218782,-0.004566447442529576
019944,兴业恒益6个月持有期债券C,2025-11-21,1.137,1.137,0.0,0.0009838349618505598,-0.004901102748118391,-0.007506983240223412,-0.2491957903731928,-0.004552617755209327
002701,东方红汇阳债券A,2025-11-21,1.148,1.473,0.2831010452961674,0.001305935111371914,-0.0038181187087817925,-0.006072874493927056,-0.14582856192568022,-0.004595508540709341
014397,中银恒悦180天持有债券A,2025-11-21,1.1357,1.1357,0.0,0.0011163842503953624,-0.0019333860620440735,-0.004819488257974115,-0.08614073078188332,-0.0028666376929932643
014398,中银恒悦180天持有债券C,2025-11-21,1.1271,1.1271,0.0,0.0010975661114429225,-0.0020364795466618624,-0.004768211920529864,-0.09234099412642613,-0.002901679081371018
010619,华安添利6个月债券A,2025-11-21,1.1282,1.1282,0.0,0.0014292048961134867,-0.0024756852343058577,-0.007128399190354656,-0.08603406372665522,-0.004912813004401116
016161,天弘永利优享债券A,2025-11-21,1.1276,1.1276,0.0,0.0010983798611456696,0.0005323868677904464,-0.00581907952742035,0.024750688653381585,-0.002353440801231669
002702,东方红汇阳债券C,2025-11-21,1.1315,1.4255,0.2598320813079983,0.0012973793362045089,-0.004136595669776533,-0.006550979162311015,-0.15911880806764497,-0.004714740601305377
022526,天弘永利优享债券E,2025-11-21,1.1224,1.1224,0.0,0.0010867444403944802,0.00026735585063719647,-0.0058458813108945434,0.012815392615284513,-0.0024618502093016513
019038,海富通添利收益一年持有期债券A,2025-11-21,1.1112,1.1112,0.0,0.0009985960861589214,-0.00035984166966529507,-0.005904455179817445,-0.017546006216964994,-0.003206925164270713
016162,天弘永利优享债券C,2025-11-21,1.1129,1.1129,0.0,0.0010971572440980075,0.00026963868416318704,-0.005895489057614953,0.012807617669489907,-0.0024783425132097253
021863,招商安和债券E,2025-11-21,1.0847,1.0847,0.0,0.0007715816630450269,0.001107521919704757,-0.004679757753716374,0.0720986168355505,-0.0021113252590857696
010620,华安添利6个月债券C,2025-11-21,1.1067,1.1067,0.0,0.0014172897936867094,-0.0027932960893853886,-0.007354919723742026,-0.09800169857675126,-0.005061447591991606
009019,西部利得聚泰18个月定开债C,2025-11-21,1.0922,1.2792,0.17121406335835912,0.001008615703936572,0.004598969830758026,-0.0037383177570094526,0.22796685026383573,-0.0009695772277409407
